threshold,sens_mean,sens_sd,sens_lo,sens_hi,spec_mean,spec_sd,spec_lo,spec_hi
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.01,1.0,0.0,1.0,1.0,0.49710726814935213,0.22033741567086773,0.0,1.0
0.02,1.0,0.0,1.0,1.0,0.6725759488785542,0.20850264024615955,0.25,1.0
0.03,1.0,0.0,1.0,1.0,0.6725759488785542,0.20850264024615955,0.25,1.0
0.04,1.0,0.0,1.0,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.05,1.0,0.0,1.0,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.06,1.0,0.0,1.0,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.07,1.0,0.0,1.0,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.08,1.0,0.0,1.0,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.09,1.0,0.0,1.0,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.1,1.0,0.0,1.0,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.11,1.0,0.0,1.0,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.12,1.0,0.0,1.0,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.13,1.0,0.0,1.0,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.14,1.0,0.0,1.0,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.15,1.0,0.0,1.0,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.16,1.0,0.0,1.0,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.17,1.0,0.0,1.0,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.18,1.0,0.0,1.0,1.0,0.8336495752076909,0.16581378337750913,0.5,1.0
0.19,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.21,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.22,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.23,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.24,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.25,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.26,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.27,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.28,0.9002966186591188,0.0976896824156597,0.6666666666666666,1.0,1.0,0.0,1.0,1.0
0.29,0.9002966186591188,0.0976896824156597,0.6666666666666666,1.0,1.0,0.0,1.0,1.0
0.3,0.9002966186591188,0.0976896824156597,0.6666666666666666,1.0,1.0,0.0,1.0,1.0
0.31,0.8024229464979474,0.13247572863934926,0.5,1.0,1.0,0.0,1.0,1.0
